"","AF","PY","TC"
"58","BARTON, ERIN E.;PUSTEJOVSKY, JAMES E.;MAGGIN, DANIEL M.;REICHOW, BRIAN",2017,36
"59","MANOLOV, RUMEN;SOLANAS, ANTONIO",2018,2
"60","VANDERKERKEN, LIEN;HEYVAERT, MIEKE;MAES, BEA;ONGHENA, PATRICK",2013,11
"61","ZIMMERMAN, KATHLEEN N.;PUSTEJOVSKY, JAMES E.;LEDFORD, JENNIFER R.;BARTON, ERIN E.;SEVERINI, KATHERINE E.;LLOYD, BLAIR P.",2018,21
"62","OLCAY, SERAY;KIYAK, EZEYIR EMRE;TOPER, OZLEM",2022,0
"63","METHE, SCOTT;KILGUS, STEPHEN;NEIMAN, CHERYL;RILEY-TILLMAN, T.",2012,15
"64","ZANUTTINI, JESSICA ZOE",2020,0
"65","PELTIER, COREY;MORIN, KRISTI L.;BOUCK, EMILY C.;LINGO, MINDY E.;PULOS, JOSHUA M.;SCHEFFLER, FAYE A.;SUK, ANDREA;MATHEWS, LESLIE A.;SINCLAIR, TRACY E.;DEARDORFF, MALARIE E.",2020,31
"66","CAMPBELL, JONATHAN M.",2013,21
"67","SAVAGE, MELISSA N.;TABER-DOUGHTY, TERESA",2017,9
"68","JAMSHIDI, LALEH;DECLERCQ, LIES;FERNANDEZ-CASTILLA, BELEN;FERRON, JOHN M.;MOEYAERT, MARIOLA;BERETVAS, S. NATASHA;VAN DEN NOORTGATE, WIM",2021,3
"69","UGILLE, MAAIKE;MOEYAERT, MARIOLA;BERETVAS, S. NATASHA;FERRON, JOHN M.;VAN DEN NOORTGATE, WIM",2014,18
"70","BAEK, EUNKYENG;LUO, WEN",NA,0
"71","ONGHENA, PATRICK;MICHIELS, BART;JAMSHIDI, LALEH;MOEYAERT, MARIOLA;VAN DEN NOORTGATE, WIM",2018,21
"72","HEYVAERT, MIEKE;SAENEN, LORE;CAMPBELL, JONATHAN M.;MAES, BEA;ONGHENA, PATRICK",2014,68
"73","ONGHENA, P;EDGINGTON, ES",2005,103
"74","BYRNE, CHRISTOPHER;COETZER, RUDI",2016,5
"75","SANSOSTI, FRANK J.;DOOLAN, MARY LYNN;REMAKLUS, BRITTANY;KRUPKO, ALISON;SANSOSTI, JENINE M.",2015,15
"76","VITALI, FRANCESCA;LI, QIKE;SCHISSLER, A. GRANT;BERGHOUT, JOANNE;KENOST, COLLEEN;LUSSIER, YVES A.",2019,14
"77","PORCINO, ANTONY J.;PUNJA, SALIMA;CHAN, AN-WEN;KRAVITZ, RICHARD;ORKIN, AARON;RAVAUD, PHILIPPE;SCHMID, CHRISTOPHER H.;VOHRA, SUNITA",2017,4
"78","SEN, NIHAL;SEN, SEDAT",2019,3
"79","TATE, ROBYN L.;PERDICES, MICHAEL;ROSENKOETTER, ULRIKE;WAKIM, DONNA;GODBEE, KALI;TOGHER, LEANNE;MCDONALD, SKYE",2013,185
"80","GABLER, NICOLE B.;DUAN, NAIHUA;VOHRA, SUNITA;KRAVITZ, RICHARD L.",2011,138
"81","KENYON, LISA K.;CHAPMAN, ALYSSA;WILLIAMS, BETSY;MILLER, WILLIAM C.",2020,1
"82","MORIN, KRISTI L.;GANZ, JENNIFER B.;VANNEST, KIMBERLY J.;HAAS, APRIL N.;NAGRO, SARAH A.;PELTIER, COREY J.;FULLER, MARCUS C.;URA, SARA K.",2019,14
"83","SCRUGGS, TE;MASTROPIERI, MA",1998,421
"84","HEYVAERT, MIEKE;SAENEN, LORE;MAES, BEA;ONGHENA, PATRICK",2014,24
"85","MANOLOV, RUMEN;ROCHAT, LUCIEN",2015,13
"86","TOPUZ, CETIN;ULKE-KURKCUOGLU, BURCU",2022,0
"87","BECKERS, LAURA W. M. E.;STAL, ROSALINDE A.;SMEETS, ROB J. E. M.;ONGHENA, PATRICK;BASTIAENEN, CAROLINE H. G.",2020,4
"88","MCCLAIN, MARYELLEN BRUNSON;HAVERKAMP, CASSITY R.;BENALLIE, KANDICE J.;SCHWARTZ, SARAH E.;SIMONSMEIER, VICKI",2021,0
"89","GEIST, KAMILE;HITCHCOCK, JOHN H.",2014,8
"90","HONG, EE REA;GONG, LI-YUAN;NINCI, JENNIFER;MORIN, KRISTI;DAVIS, JOHN L.;KAWAMINAMI, SAWAKO;SHI, YAN-QIU;NORO, FUMIYUKI",2017,24
